engine,storage,benchmark,sf,query,min_ms,avg_ms,status
maximus,gpu,tpch,1,q1,11.754,132.2,OK
maximus,gpu,tpch,1,q3,2.497,6.3,OK
maximus,gpu,tpch,1,q6,0.901,1.7,OK
maximus,gpu,tpch,5,q1,51.112,64.3,OK
maximus,gpu,tpch,5,q3,7.322,14.2,OK
maximus,gpu,tpch,5,q6,2.727,3.5,OK
maximus,gpu,tpch,10,q1,102.117,112.2,OK
maximus,gpu,tpch,10,q3,13.173,20.4,OK
maximus,gpu,tpch,10,q6,5.033,5.8,OK
maximus,gpu,h2o,1gb,q1,14.562,32.5,OK
maximus,gpu,h2o,1gb,q3,280.385,286.7,OK
maximus,gpu,h2o,1gb,q5,9.856,10.5,OK
maximus,gpu,h2o,2gb,q1,28.395,40.1,OK
maximus,gpu,h2o,2gb,q3,246.573,252.8,OK
maximus,gpu,h2o,2gb,q5,18.794,19.3,OK
maximus,gpu,h2o,3gb,q1,42.432,51.9,OK
maximus,gpu,h2o,3gb,q3,275.552,281.8,OK
maximus,gpu,h2o,3gb,q5,27.761,28.4,OK
maximus,gpu,h2o,4gb,q1,56.168,66.2,OK
maximus,gpu,h2o,4gb,q3,300.251,430.0,OK
maximus,gpu,h2o,4gb,q5,36.827,37.3,OK
maximus,gpu,clickbench,1,q1,0.413,3.2,OK
maximus,gpu,clickbench,1,q6,0.817,2.3,OK
maximus,gpu,clickbench,1,q20,19.084,129.3,OK
maximus,gpu,clickbench,5,q1,0.494,3.2,OK
maximus,gpu,clickbench,5,q6,3.298,4.8,OK
maximus,gpu,clickbench,5,q20,61.8,62.3,OK
maximus,gpu,clickbench,10,q1,0.566,3.3,OK
maximus,gpu,clickbench,10,q6,6.871,8.5,OK
maximus,gpu,clickbench,10,q20,107.855,108.3,OK
maximus,gpu,clickbench,20,q1,0.866,5.0,OK
maximus,gpu,clickbench,20,q6,13.383,15.7,OK
maximus,gpu,clickbench,20,q20,186.454,187.1,OK
maximus,gpu,microbench_tpch,1,w1_002,0.813,79.3,OK
maximus,gpu,microbench_tpch,1,w3_001,0.371,7.8,OK
maximus,gpu,microbench_tpch,1,w5a_029,1.803,4.6,OK
maximus,gpu,microbench_tpch,5,w1_002,2.684,4.0,OK
maximus,gpu,microbench_tpch,5,w3_001,0.739,7.6,OK
