run_id,benchmark,sf,query,n_reps,min_s,avg_s,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
tpch_sf2_q01,tpch,2,q01,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q02,tpch,2,q02,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q03,tpch,2,q03,0,0.0000,0.0000,0.00,1237,1237,89.7,93.1,15833,94.3,99,0.00,169.7,2.3,0.00,TIMEOUT
tpch_sf2_q04,tpch,2,q04,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q05,tpch,2,q05,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q06,tpch,2,q06,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q07,tpch,2,q07,0,0.0000,0.0000,0.00,330,205,90.9,91.4,14999,97.1,98,0.00,164.2,2.4,0.00,FALLBACK
tpch_sf2_q08,tpch,2,q08,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q09,tpch,2,q09,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q10,tpch,2,q10,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q11,tpch,2,q11,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q12,tpch,2,q12,0,0.0000,0.0000,0.00,307,307,91.2,92.5,14999,96.8,98,0.00,-8553.4,2.4,0.00,FALLBACK
tpch_sf2_q13,tpch,2,q13,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q14,tpch,2,q14,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q15,tpch,2,q15,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q16,tpch,2,q16,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q17,tpch,2,q17,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q18,tpch,2,q18,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q19,tpch,2,q19,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q20,tpch,2,q20,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q21,tpch,2,q21,0,,,,0,0,,,,,,,,,,FALLBACK
tpch_sf2_q22,tpch,2,q22,0,,,,0,0,,,,,,,,,,FALLBACK
